name	x	y	inhabitants_ct
Appingedam 	 252454	593289 	 11801
Bedum 	 235677	590494 	 10475
Ten Boer 	 241994	588824 	 7292
Delfzijl 	 252586	599866 	 24864
Groningen 	 234901	582534 	 202810
Grootegast 	 217872	582458 	 12143
Haren 	 238207	574921 	 19861
Leek 	 218280	570084 	 19669
Loppersum 	 244314	595752 	 9732
Marum 	 214493	574000 	 10488
Almere 	 145429	486601 	 203990
Stadskanaal 	 263956	558470 	 32258
Veendam 	 255015	567943 	 27508
Zeewolde 	 159342	484232 	 22407
Winsum 	 229038	591285 	 13560
Zuidhorn 	 220698	587989 	 18917
Dongeradeel 	 198072	597218 	 23789
Achtkarspelen 	 205496	581382 	 27935
Ameland 	 172628	606629 	 3654
Harlingen 	 159168	576090 	 15783
Heerenveen 	 189604	559369 	 50192
Kollumerland en Nieuwkruisland 	 202034	587493 	 12827
Leeuwarden 	 182443	575996 	 122415
Ooststellingwerf 	 215160	555416 	 25459
Opsterland 	 204767	562455 	 29753
Schiermonnikoog 	 207530	611670 	 932
Smallingerland 	 198639	569824 	 55889
Terschelling 	 151232	601458 	 4906
Vlieland 	 126729	585883 	 1132
Weststellingwerf 	 197448	543365 	 25720
Assen 	 233639	557344 	 67708
Coevorden 	 246081	528951 	 35299
Emmen 	 261064	530773 	 107192
Hoogeveen 	 231098	526784 	 55677
Meppel 	 207312	528912 	 33410
Almelo 	 241600	485202 	 72629
Borne 	 247644	481318 	 23124
Dalfsen 	 215232	503095 	 28242
Deventer 	 212926	475919 	 99653
Enschede 	 256852	471350 	 158261
Haaksbergen 	 248659	463920 	 24291
Hardenberg 	 237347	512741 	 60539
Hellendoorn 	 227498	489608 	 35796
Hengelo 	 249974	475008 	 80593
Kampen 	 192009	507639 	 53259
Losser 	 265136	476155 	 22547
Noordoostpolder 	 180689	525085 	 46625
Oldenzaal 	 258921	481066 	 31915
Ommen 	 226106	503676 	 17630
Raalte 	 215713	489260 	 37158
Staphorst 	 210504	516537 	 16797
Tubbergen 	 249538	492325 	 21213
Urk 	 170961	519893 	 20524
Wierden 	 234959	484706 	 24258
Zwolle 	 203825	503221 	 126116
Aalten 	 235717	437681 	 26962
Apeldoorn 	 192941	468823 	 161156
Arnhem 	 189995	446504 	 157223
Barneveld 	 172422	464491 	 57339
Beuningen 	 177844	430657 	 25798
Brummen 	 204693	458320 	 20771
Buren 	 151272	437912 	 26365
Culemborg 	 142843	439718 	 28195
Doesburg 	 207148	448086 	 11328
Doetinchem 	 218914	441550 	 57382
Druten 	 170198	431185 	 18701
Duiven 	 198381	439977 	 25438
Ede 	 174916	453756 	 114682
Elburg 	 186488	491673 	 23107
Epe 	 193896	482259 	 32863
Ermelo 	 173259	477366 	 26793
Geldermalsen 	 143554	433271 	 26818
Harderwijk 	 173290	483524 	 46832
Hattem 	 200254	498769 	 12154
Heerde 	 200125	491121 	 18603
Heumen 	 184763	421113 	 16462
Lochem 	 220636	466139 	 33574
Maasdriel 	 148937	418997 	 24350
Nijkerk 	 161733	469196 	 42307
Nijmegen 	 185983	427864 	 175948
Oldebroek 	 192523	496045 	 23504
Putten 	 168462	472816 	 24313
Renkum 	 181057	444873 	 31338
Rheden 	 200567	449676 	 43527
Rozendaal 	 195176	453210 	 1575
Scherpenzeel 	 162764	455680 	 9751
Tiel 	 156353	432951 	 41465
Voorst 	 204377	467810 	 24310
Wageningen 	 173986	442821 	 38412
Winterswijk 	 246987	443229 	 28987
Wijchen 	 176700	425393 	 40847
